Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25817087,"Constitution (Legacy Fleet Trilogy, #1)",Nick Webb,"Webb, Nick",,"=""""","=""""",0,4.00,Amazon Digital Services,Kindle Edition,323,2015,2015,,2025/04/08,currently-reading,currently-reading (#179),currently-reading,,,,1,0
59344991,The Saint of Bright Doors,Vajra Chandrasekera,"Chandrasekera, Vajra",,"=""1250847397""","=""9781250847393""",3,3.69,Tordotcom,Kindle Edition,368,2023,2023,2025/04/08,2025/02/23,,,read,,,,1,0
40743697,Meditations: Thoughts to Myself,Nik Marcel,"Marcel, Nik","Jules Barthélemy-Saint-Hilaire, Marcus Aurelius","=""""","=""""",5,4.28,2Language Books,Kindle Edition,0,2018,180,2025/03/27,2018/10/01,,,read,,,,1,0
228578720,"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,"Wynn-Williams, Sarah",,"=""1250391245""","=""9781250391247""",5,4.36,Flatiron Books,Kindle Edition,385,2025,2025,2025/03/27,2025/03/27,,,read,,,,1,0
213618136,"The Technological Republic: Hard Power, Soft Belief, and the Future of the West",Alexander C. Karp,"Karp, Alexander C.",Nicholas W. Zamiska,"=""0593798694""","=""9780593798690""",0,3.79,Crown Currency,Hardcover,320,2025,,,2025/03/24,currently-reading,currently-reading (#178),currently-reading,,,,1,0
38840,Boyd: The Fighter Pilot Who Changed the Art of War,Robert Coram,"Coram, Robert",,"=""0316796883""","=""9780316796880""",0,4.18,Back Bay Books,Paperback,504,2004,,,2025/02/26,currently-reading,currently-reading (#177),currently-reading,,,,1,0
52066765,"The Burning God (The Poppy War, #3)",R.F. Kuang,"Kuang, R.F.",,"=""0062662651""","=""9780062662651""",5,4.30,Harper Voyager,Kindle Edition,656,2020,2020,2025/02/23,2025/01/26,,,read,,,,1,0
55539565,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"Grant, Adam M.",,"=""1984878107""","=""9781984878106""",0,4.13,Viking Books,Hardcover,307,2021,2021,,2025/02/05,to-read,to-read (#184),to-read,,,,0,0
31920777,American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road,Nick Bilton,"Bilton, Nick",,"=""1591848148""","=""9781591848141""",0,4.41,Portfolio,Hardcover,328,2017,2017,,2025/02/05,to-read,to-read (#183),to-read,,,,0,0
3888,The America's Test Kitchen Family Cookbook,America's Test Kitchen,"Kitchen, America's Test","Carl Tremblay, Daniel J. Van Ackere","=""193361501X""","=""9781933615011""",0,4.17,America's Test Kitchen,Spiral-bound,726,2006,2005,,2025/02/05,to-read,to-read (#182),to-read,,,,0,0
125162502,"Scorpio (Frontlines: Evolution, #1)",Marko Kloos,"Kloos, Marko",,"=""1542035503""","=""9781542035507""",0,4.12,47North,Kindle Edition,283,2024,2024,,2025/02/05,to-read,to-read (#181),to-read,,,,0,0
213034913,Source Code: My Beginnings,Bill  Gates,"Gates, Bill",,"=""059380158X""","=""9780593801581""",0,4.21,Knopf,Hardcover,336,2025,2025,,2025/02/04,currently-reading,currently-reading (#176),currently-reading,,,,1,0
196835027,Brave New Words: How AI Will Revolutionize Education (and Why That's a Good Thing),Salman Khan,"Khan, Salman",,"=""0593656962""","=""9780593656969""",0,3.67,Viking,Kindle Edition,271,2024,,,2025/02/03,currently-reading,currently-reading (#175),currently-reading,,,,1,0
42800305,"The Dragon Republic (The Poppy War, #2)",R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",5,4.37,Harper Voyager,Kindle Edition,675,2019,2019,2025/01/26,2025/01/07,,,read,,,,1,0
6596,The Four Agreements: A Practical Guide to Personal Freedom,Miguel Ruiz,"Ruiz, Miguel",Janet Mills,"=""1878424505""","=""9781878424501""",0,4.19,Amber-Allen Publishing,Hardcover,152,2001,1997,2025/01/25,2025/01/23,,,read,,,,1,0
1469401,A Complaint Free World: How to Stop Complaining and Start Enjoying the Life You Always Wanted,Will Bowen,"Bowen, Will",,"=""0385524587""","=""9780385524582""",0,3.90,Harmony,Hardcover,192,2007,2007,,2025/01/25,to-read,to-read (#180),to-read,,,,0,0
41880602,Fleishman Is in Trouble,Taffy Brodesser-Akner,"Brodesser-Akner, Taffy",,"=""0525510877""","=""9780525510871""",4,3.65,Random House,Hardcover,373,2019,2019,2025/01/25,2025/01/22,,,read,,,,1,0
94318,Awareness: The Perils and Opportunities of Reality,Anthony de Mello,"Mello, Anthony de",J. Francis Stroud,"=""0385249373""","=""9780385249379""",5,4.29,Image,Paperback,184,1992,1990,2025/01/23,2024/10/21,,,read,,,,1,0
60838163,"Money and Love: A Comprehensive Guide to Life's Biggest Decisions, Balancing Rationality and Emotion, and Navigating the Interdependence of Personal and Financial Choices",Myra Strober,"Strober, Myra",Abby Davisson,"=""0063117517""","=""9780063117518""",0,3.89,HarperOne,Hardcover,320,2023,,,2025/01/09,currently-reading,currently-reading (#174),currently-reading,,,,1,0
11737360,The Behavior Gap: Simple Ways to Stop Doing Dumb Things with Money,Carl  Richards,"Richards, Carl",,"=""1591844649""","=""9781591844648""",0,3.77,Portfolio/Penguin,Hardcover,178,2012,2012,,2025/01/09,currently-reading,currently-reading (#173),currently-reading,,,,1,0
63063173,Scaling People: Tactics for Management and Company Building,Claire Hughes Johnson,"Johnson, Claire Hughes",,"=""1953953212""","=""9781953953216""",0,4.26,Stripe Press,Hardcover,480,2023,,2025/01/09,2024/12/06,,,read,,,,1,0
55225045,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",5,4.17,Harper Voyager,Kindle Edition,545,2018,2018,2025/01/07,2024/07/26,,,read,,,,1,0
306235,The Professional Chef,Culinary Institute of America,"America, Culinary Institute of",,"=""0471382574""","=""9780471382577""",0,4.28,John Wiley & Sons Inc,Hardcover,1036,2001,1974,,2024/12/30,to-read,to-read (#179),to-read,,,,1,0
219876684,The Answer Is No,Fredrik Backman,"Backman, Fredrik",Elizabeth DeNoma,"=""1662526520""","=""9781662526527""",3,3.94,Amazon Original Stories ,Kindle Edition,68,2024,2024,2024/12/24,2024/12/24,,,read,,,,1,0
52163195,"Polostan (Bomb Light, #1)",Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",3,3.88,William Morrow,Kindle Edition,368,2024,2024,2024/12/24,2024/06/21,,,read,,,,1,0
12929256,Michelin Red Guide San Francisco 2012 (Michelin Guide/Michelin),Guides Touristiques Michelin,"Michelin, Guides Touristiques",,"=""2067165291""","=""9782067165298""",4,4.26,Michelin Travel & Lifestyle,Paperback,496,2011,2006,,2014/09/19,,,read,,,,1,0
58484901,How to Be Perfect: The Correct Answer to Every Moral Question,Michael Schur,"Schur, Michael",,"=""1982159316""","=""9781982159313""",0,4.14,Simon & Schuster,Hardcover,304,2022,2022,,2024/12/05,to-read,to-read (#178),to-read,,,,0,0
123314421,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""0802161553""","=""9780802161550""",4,3.60,Atlantic Monthly Press,Kindle Edition,212,2023,2023,2024/11/25,2024/11/13,,,read,,,,1,0
58009109,The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,"Mallaby, Sebastian",,"=""052555999X""","=""9780525559993""",5,4.43,Penguin Press,Hardcover,496,2022,2022,2022/01/01,2022/02/03,,,read,,,,2,0
157191566,The Big Stick: Collected and Applied Wisdom from the Teachings of Dr. Robert Glover,Robert A. Glover,"Glover, Robert A.",Tony Endelman,"=""""","=""""",0,4.19,,Kindle Edition,505,2023,,,2024/11/04,currently-reading,currently-reading (#172),currently-reading,,,,1,0
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""000853277X""","=""9780008532772""",0,3.74,William Morrow,Hardcover,319,2023,2023,,2024/10/21,to-read,to-read (#177),to-read,,,,0,0
57933306,Stolen Focus: Why You Can't Pay Attention— and How to Think Deeply Again,Johann Hari,"Hari, Johann",,"=""0593138511""","=""9780593138519""",5,4.23,Crown,Hardcover,357,2022,2022,2024/10/21,2024/09/27,,,read,,,,1,0
13278458,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,"Acemoğlu, Daron",James A. Robinson,"=""""","=""""",0,4.09,Currency,ebook,544,2012,2012,,2024/10/14,currently-reading,currently-reading (#171),currently-reading,,,,1,0
9938211,"The 4-Hour Body: An Uncommon Guide to Rapid Fat-Loss, Incredible Sex, and Becoming Superhuman",Timothy Ferriss,"Ferriss, Timothy",,"=""""","=""""",0,3.72,Crown Archetype,Kindle Edition,683,2010,2000,,2024/10/09,currently-reading,currently-reading (#170),currently-reading,,,,1,0
215760525,Livesuit (The Captive’s War #1.5),James S.A. Corey,"Corey, James S.A.",,"=""0316575348""","=""9780316575348""",3,4.33,Orbit,Kindle Edition,90,2024,2024,2024/10/09,2024/10/03,,,read,,,,1,0
179550498,James,Percival Everett,"Everett, Percival",,"=""0385550375""","=""9780385550376""",5,4.49,Doubleday,Kindle Edition,304,2024,2024,2024/10/02,2024/10/02,,,read,,,,1,0
35957157,Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,"Duke, Annie",,"=""0735216355""","=""9780735216358""",4,3.82,Portfolio,Hardcover,288,2018,2018,2024/09/27,2024/09/27,,,read,,,,1,0
36137570,Letters to My Palestinian Neighbor,Yossi Klein Halevi,"Halevi, Yossi Klein",,"=""0062844938""","=""9780062844934""",0,4.12,Harper,Kindle Edition,229,2018,2019,,2019/10/21,to-read,to-read (#138),to-read,,,,0,0
199851460,Alien Clay,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""0316578983""","=""9780316578981""",0,4.03,Orbit,Kindle Edition,416,2024,2024,,2024/09/16,currently-reading,currently-reading (#169),currently-reading,,,,1,0
